Order_ID,Date,City,Product_ID,Product_Name,Category,Units_Sold,Unit_Price,Discount_Percent,Unit_Cost,Payment_Method,Revenue,Profit
100001,2024-08-01,Bangalore,TB5000,Mango Cooler,Beverages,2,99.52,0.0,47.63,Card,199.04,103.78
100002,2024-08-01,Pune,TB5000,Mango Cooler,BEVERAGES,1,99.52,0.0,47.63,Card,99.52,51.89
102138,2024-08-01,Pune,TB5001,Cold Brew Coffee,Drinks,1,137.42,0.0,109.23,Cash on Delivery,137.42,28.19
102139,2024-08-01,Mumbai,TB5001,Cold Brew Coffee,Drinks,2,137.42,0.0,109.23,UPI,274.84,56.38
102140,2024-08-01,Bangalore,TB5001,Cold Brew Coffee,Drinks,1,137.42,0.0,109.23,Cash on Delivery,137.42,28.19
104475,2024-08-01,Hyderabad,TB5002,Masala Chai,beverages,1,226.95,0.0,107.92,Cash on Delivery,226.95,119.03
104476,2024-08-01,Bangalore,TB5002,Masala Chai,beverages,2,226.95,0.0,107.92,Wallet,453.9,238.06
104477,2024-08-01,Hyderabad,TB5002,Masala Chai,Drinks,1,226.95,0.0,107.92,UPI,226.95,119.03
106562,2024-08-01,Chennai,TB5003,Fresh Lime Soda,Beverages,1,361.67,0.0,187.34,Cash on Delivery,361.67,174.33
106563,2024-08-01,Hyderabad,TB5003,Fresh Lime Soda,Beverages,2,361.67,0.0,187.34,Card,723.34,348.66
107203,2024-08-01,Pune,TB5004,Berry Smoothie,Beverages,2,155.68,0.0,116.06,Wallet,311.36,79.24
109866,2024-08-01,Hyderabad,TB5005,Paneer Tikka,Appetizers,2,81.59,0.0,64.65,Wallet,163.18,33.88
109867,2024-08-01,Delhi,TB5005,Paneer Tikka,STARTERS,1,81.59,0.0,64.65,Cash on Delivery,81.59,16.94
109868,2024-08-01,Bangalore,TB5005,Paneer Tikka,starters,1,81.59,10.2,64.65,UPI,73.27,8.62
109869,2024-08-01,Delhi,TB5005,Paneer Tikka,starters,1,81.59,9.1,64.65,Wallet,74.17,9.52
109870,2024-08-01,Bangalore,TB5005,Paneer Tikka,STARTERS,2,81.59,0.0,64.65,Card,163.18,33.88
114331,2024-08-01,Pune,TB5007,Spring Rolls,STARTERS,1,185.73,,142.17,Cash on Delivery,156.2,14.03
114332,2024-08-01,Delhi,TB5007,Spring Rolls,Starters,2,185.73,0.0,142.17,Wallet,371.46,87.12
114333,2024-08-01,Hyderabad,TB5007,Spring Rolls,Appetizers,2,185.73,11.2,142.17,Card,329.86,45.52
114334,2024-08-01,Chennai,TB5007,Spring Rolls,Starters,3,185.73,15.0,142.17,Wallet,473.61,47.1
114335,2024-08-01,Pune,TB5007,Spring Rolls,starters,1,185.73,,142.17,UPI,174.96,32.79
114336,2024-08-01,Mumbai,TB5007,Spring Rolls,Starters,1,185.73,12.5,142.17,Card,162.51,20.34
114337,2024-08-01,Hyderabad,TB5007,Spring Rolls,starters,1,185.73,6.0,142.17,Cash on Delivery,174.59,32.42
117211,2024-08-01,Hyderabad,TB5008,Veg Manchurian,Starters,1,159.67,0.0,85.28,Card,159.67,74.39
